text,label
"Tidak, hal prioritas tetap lebih ditambahkan selanjutnya bisa memilih aktivitas lain namun yang positif",label_0
agar kegiatan cpt selesai,label_0
Tidak pernah sama sekali,label_0
Prinsip saya prioritas penting tetap yang utama,label_0
Kerjaan saya selesai siang hari,label_0
Saya kurang sibuk jadi ya tidak ada prioritas penting,label_0
Melihat porno waktu senggang saja,label_0
Jika ada kegitan tdk menonton itu,label_0
tidak pernah menunda prioritas,label_0
Tidak sampai sejauh itu,label_0
tidak pernah menunda,label_0
Saya tetap mengutamakan prioritas penting,label_0
"Tidak pernah, prioritas merupakan kebutuhan utama yang lebih wajib dilaksanakan",label_0
Prioritas penting lebih utama,label_0
Malah prioritas penting harus selesai dulu biar tenang,label_0
Menonton di waktu senggang saja,label_0
"Tidak, saya lebih mengutamakan proritas, proritas lebih diatas segalanya",label_0
Saya masih punya kesadaran penting,label_0
"Tidak pernah, tidak pernah menonton",label_0
Cowok mah biasa,label_0
Biasa aja ya udah besar,label_0
Ga pernah ngerasa kayak gitu malah termotivasi,label_0
"Online maupun offline, menurut saya belum saat nya, mengingat usia saya yang masih belasan, harus menakar hal-hal yang dilihat di media sosial",label_0
Saking seringnya mungkin udah terbiasa sampai tahap ya yaudahlah,label_0
Biasa aja,label_0
Biasa aja sih yang saya rasain,label_0
"Tidak tertekan, saya selalu bersusah untuk menghindari hal tersebut (tidak tahu rasanya)",label_0
Belum pernah ngerasain tertekan,label_0
Malah bikin segar,label_0
Malah beban saya hilang walau sedikit,label_0
Malah pornografi buat pelepas penat,label_0
"Tidak pernah, tidak tahu (tidak menonton)",label_0
Tidak pernah ( tidak merasakan) tidak terlibat ke konten-konten pornografi,label_0
Menurut saya biasa aja,label_0
"Tidak , sebisa mungkin sellau menghindari baik dari iklan maupun sesuatu hal yang mengarah ke konten tersebut",label_0
Biasa aja sih,label_0
Kerjaan saya sudah selesai melihat porno ya hiburan aja,label_0
Biasa saja,label_0
Malah melihat porno membantu saya,label_0
Justru melihat pornografi menghilangkan tekanan,label_0
Biasa aja sih yang saya rasakan,label_0
"Tidak, tidak tahu dan berusaha menghindari",label_0
Tidak pernah tidak tahu,label_0
Tidak pernah ( tidak tahu dan tidak terlibat),label_0
B aja,label_0
Yang saya rasain ya biasa aja soalnya nonton bentar,label_0
Yang ada mah makin seger,label_0
Tidak ada kaitan nya.,label_0
"Tidak, tidak tahu (belum pernah merasakan terjumus ke hal yang berbau pornografi)",label_0
sama sekali tidak,label_0
Saya sadar akan dampak negatif dari pornografi online.,label_1
jarang buka konten porno mungkin sebulan 1-3 kali,label_1
"Karna terkadang saya suka membaca cerita 18+, karna menurut saya cerita seperti itu menarik.",label_1
Karna iseng aja,label_1
Mending langsung,label_1
"nontonnya jarang, tp pernah beberapa kali kalau ada yg viral",label_1
saya sangat jarang menonton konten negatif tersebut,label_1
Saya sering memiliki keinginan untuk membuka situs porno jika sedang sendirian,label_1
Jarang nonton,label_1
"Pernah mengalaminya, sekarang tingkatnya jauh berkurang",label_1
saya merasa biasa saja jika tidak menonton nya,label_1
saya cukup sering mengonsumsi hal tsb,label_1
Tidak terlalu sering,label_1
Karna pernah lewat di iklan,label_1
Karna saya merasa ketika menonton video porno bisa menambah pengalaman saya dan memuaskan nafsu.,label_1
"Saya merasa agak sering menonton pornografi, tetapi tidak sesering itu",label_1
Karna terkadang sulit untuk mengontrol nafsu. Tapi terkadang juga saya dapat mengontrol nya dengan baik,label_1
Seru,label_1
Tidak menarik,label_1
Tidak tertarik pada hal yang berbau pornografi,label_1
Tidak tertarik,label_1
"Sama kek yang diatas, ga tertarik sama pornography",label_1
tidak pernah,label_1
memang engga sya cenderung mengalihkan,label_1
Saya merasa memiliki kontrol diri yang baik sehingga jika tidak ingin maka tidak ingin,label_1
Pornografi dapat membakar kuota dan diri sendiri ke nereka jahannam,label_1
Nilai moral dan agama saya tidak memperbolehkan nya,label_1
kalau ga nonton ya biasa aja,label_1
Merasa bisa mengendalikan hasrat,label_1
Biasanya pornografi itu bisa terjadi kalau ada yg mentrigger. Jadi kalo ga ada yg mentrigger jarang tertarik,label_1
tidak pernah menonton,label_1
Tidak lebih memilih melakukan hal yang lebih positif,label_1
Karna saya tidak tertarik,label_1
Karna merusak hidup saya,label_1
Saya tidak sama sekali tertarik dengan pornografi,label_1
tidak pernah spt itu,label_1
tidak suka menonton,label_1
tidak suka,label_1
Sangat jarang saya tertarik terhadap pornografi jika tidak menontonnya,label_1
Terkadang saya sedikit tertarik terhadap pornografi,label_1
ya karna ada kesibukan lain,label_1
pornografi tidak menarik bagi saya,label_1
Terlalu berlebihan,label_1
Ga tertarik pornographyyy,label_1
Ya sibuk,label_1
"Jikalau saya menonton, tidak akan ada jadwal terstruktur untuk hal yang begituan",label_1
Godaan saat sendiri sangatlah dahsyat,label_1
Saya lebih memilih waktu dan energi untuk sesuatu yang lebih produktif,label_1
tidak sering,label_1
Selow aja brodi,label_1
"Hal itu biasanya ga bsa diduga dan dijadwal, tiba"" ada temen yg ngasi liat",label_1
Karna tidak penting,label_1
tidak pernah,label_1
karna sibuk,label_1
Ga tertarik nonton pornography,label_1
Ya berkumpul lebih seru,label_1
Sangat tidak logis memilih kesenangan sementara daripada kebutuhan sosialisasi,label_1
banyak proker organisasi dan saya harus bekerja dan belajar demi masa depan yg cerah,label_1
Saya tidak tertarik,label_1
tidak candu,label_1
Interaksi sosial bersama teman/keluarga lebih menyenangkan untuk menghabiskan waktu,label_1
Saya lebih suka bersosialisasi drpada menonton pornografi,label_1
Gk tertarik,label_1
Sama yg kek diatas,label_1
Ya gitu,label_1
"Sekali lagi, menurut saya pornografi adalah hal yang buruk sehingga skala prioritas nya berada di paling bawah",label_1
"saya hanya menontonnya tatkala salah scroll ig atau ada syahwat saja, kan tidak mungkin nonton kl ga bersyahwat",label_1
tidak terlalu penting,label_1
"menurutt saya pornografi bukan hal yang prioritas, itu hanya selingan di obrolan tongkrongan",label_1
Karna porn tidak menarik,label_1
Tidak pernah tertekan,label_1
Saya merasa biasa saja jika tidak sengaja melihat konten pornografi dalam bentuk iklan,label_1
"Ga tertekan, cm kek malu dan ganyaman",label_1
Saya merasa biasa saja,label_1
"Tertekan tidak, malu saja",label_1
tidak tertekan,label_1
Saya tidak pernah melihat nya,label_1
"Tidak, karna saya merasa senang setelah membaca cerita 18+ itu.",label_1
"Tidak tahu, sampai sekarang belum pernah menonton (dan diusahakan tidak akan pernah)",label_1
saya tidak perna merasa tertekan sama sekali,label_1
Tidak tertekan dan gelisah berusaha menghindari menonton,label_1
Tidak,label_1
Nggak tertekan malah enak,label_1
tidak merasa tertekan,label_1
tidak pernah merasa tertekan,label_1
Tertekan dikit soalnya capek nonton,label_1
Malah liat porno penghilang setress walau presentasi nya dikit,label_1
Beban saya berkurang dikit,label_1
Malah seneng,label_1
karna tidak suka,label_1
Bukan tertekan lebih ke menyesal,label_1
Melihat pornografi tekanan dari diri saya lumayan berkurang,label_1
Tidak tertarik melihat hal hal yang berbau pornografi,label_1
Tidak pernah merasa sakit,label_1
"Ga sakit, cm malu dan ga nyaman",label_1
Saya tidak mengalami masalah setelah melihat hal tersebut,label_1
Bingung,label_1
Saya tidak pernah melihat,label_1
"Tidak, karna saya merasa sudah ter entertain setelah membaca cerita 18+ itu.",label_1
"Tidak tahu, tidak pernah merasakan",label_1
"Tidak, saya menghindari untuk tidak menontonnya",label_1
tidak merasa sakit,label_1
karna jarang nonton jadi tidak tau,label_1
Saket hati karna sudah pernah janji bakalan gak nonton lagi,label_1
"Tidak merasa tertekan, tidak melakukan hal-hal yang berbau pornografi (menonton)",label_1
tidak karena hanya Beberapa kali menonton,label_0
tidak karena saya berhasil menahannya nafsu,label_0
Saya jarang menonton pornografi,label_0
saya tidak melihat konten pornografi di internet dengan sengaja,label_0
Tidak tertarik,label_0
Ga tertarik nonton porno,label_0
tidak tertarik sama sekali,label_0
jarang Nonton hanya waktu senggang dan tidak candu,label_0
tidak yakin saya kecanduan saya hanya menonton nya beberapa kali,label_0
tidak tertarik Karna kalau udah kecanduan pornografi akan merusak hidup rusak,label_0
tidak kecanduan karena Saya berpendapat bahwa pornografi akan lebih merusak pikiran,label_0
Belum kecanduan selalu mencari kegiatan yang bisa dilakukan agar lebih produktif,label_0
"Tidak, hanya sekedar senang menonton",label_0
Tidak no online/offline terhadap hal yang berbau pornografi,label_0
"Tidak, menurut saya konten pornografi akan menyebabkan kecanduan yang bisa merusak",label_0
"Tidak, saya berusaha selalu teguh pendirian. Sekali berprinsip tidak, maka tidak",label_0
"Tidak pernah, saya lebih menghangari dan mengutamakan prinsip. ( tidak untuk menikmati konten-konten pornografi )",label_0
"Tidak tertarik, bisa mengontrol diri sendiri. Mengerti batasan untuk diri sendiri, mana yang boleh dilakukan mana yang tidak",label_0
"Dari feeling saya sih engga kecanduan, biasa biasa aja",label_0
tidak suka nonton dan tidak kecanduan,label_0
kurang suka menonton seperti itu,label_0
Saya tidak pernah tertarik kepada pornografi,label_0
Tidak tertarik dan tidak merasa kecanduan,label_0
Tidak ingin kecanduan,label_0
tidak pernah,label_0
"Tidak, jadwal selalu beruntut setiap harinya, dan jika terdapat jadwal kosong maka akan mengisi dengan kegiatan kumpul bersama teman/keluarga",label_0
"Tidak pernah, hal ini hanya dilakukan disela waktu liburan yang lama",label_0
"Tidak waktu adalah uang, waktu berarti berharga jadi sebisa mungkin menurut saya menggunakan waktu untuk hal-hal yang positif",label_0
"Tidak, waktu selalu saya usahakan untuk digunakan dengan hal-hal yang baik",label_0
Tidak pernah. setiap jadwal dan kegiatan sudah ada waktu yang terencanakan,label_0
"Tidak pernah, jadwal yang kosong lebih saya gunakan untuk kegiatan lain yang bersifat lebih baik",label_0
"Tidak pernah, waktu yang saya miliki sudah terjadwal",label_0
"Ga separah itu sih, klo mau nonton ya nonton aja",label_0
tidak suka nonton,label_0
Saya banyak meghabiskan kegiatan di perkuliahan tidak ada waktu untuk menonton pornografi,label_0
Tidak,label_0
"Tidak, sudah banyak kegiatan sehingga pikiran tidak tertuju kekonten pornografi",label_0
tidak suka,label_0
Saya tidak pernah mengatur jadwal saya terhadap hal tersebut,label_0
Sama sekali tidak pernah,label_0
tidak mengatur jadwal walaupun Melihat porno tak kenal waktu tapi biasanya waktu2 rawan tuh malam,label_0
Ya ga pernah..,label_0
Saya tidak sekecanduan itu sampai bikin jadwal,label_0
Tidak pernah kepikiran,label_0
tidak pernah Saya aja gabut.. ngapain bikin jadwal,label_0
"tidak pernahMelihat porno kan malam hari ngapain sampai ngatur jadwal, kadang kalau tidak terlalu sibuk ya ada kesempatan",label_0
Tidak pernah kepikiran sampai mengatur jadwal,label_0
Saya kurang sibuk ngapain ngatur jadwal,label_0
Melihat saat waktu senggang aja,label_0
"G pernah kepikiran sih, kalau inget aja",label_0
Tidak pernah kepikiran sampai kesitu,label_0
"Tidak pernah menolak, kumpul bersama teman lebih prioritas",label_0
Asal positif saya akan mengusahakan untuk ikut kegiatan,label_0
"Tidak, selagi sempat dan bisa waktu kumpul adalah hal yang akan saya lakukan. Hal ini akan lebih bermanfaat dari pada harus berdiam diri menonton pornografi",label_0
"Tidak pernah, aktivitas tersebut lebih baik. Dan bisa kita lakukan saat diwaktu luang untuk menghindari keinginan nonton pornografi saat sendirian (saat diwaktu santai)",label_0
"Tidak pernah, selagi ada waktu maka saya akan lebih mengutamakan kegiatan sosial yang lebih bermanfaat dan berdampak positif",label_0
Nonton porno malem doang,label_0
"Jika berada dalam situasi tersebut, saya lebih suka berinteraksi secara sosial daripada menghabiskan waktu menonton pornografi.",label_0
Bermain dgn teman lebih enk,label_0
"Tidak, setiap ajakan teman jika itu positif akan lebih mengutamakan",label_0
waktu dgn teman lebih penting,label_0
Tidak pernah saya menolak ajakan bersosialisasi ingin menonton pornografi,label_0
Sama sekali bukan saya,label_0
Kesempatan nonton porno itu malam hari lebih enak,label_0
Menonton kalau memang lagi setress aja,label_0
kesempatan nonton pornografi biasanya malam soo yeah tidak ada kegiatan sosial,label_0
"Saya melihat saat tidak ada kerjaan saja, bener2 senggang",label_0
Tidak pernah berfikiran seperti itu,label_0
Kalau melihat waktu malam hari diatas jam 9,label_0
Melihat porno waktu malam hari jadi aman,label_0
Jika ada kegitan saya tidak berbuat itu,label_0
wkatu dgn teman lebih penting,label_0
karna tidak pernah,label_0
Tidak ketergantungan,label_0
tidak pernah menolak ajakan teman apabila keluar,label_0
melihatnya tengah malam jadi ya tidak ada alasan untuk menolak,label_0
"Tidak pernah menolak, karna ya melihat porno pada saat tengah malam/dini hari",label_0
Engga pernah sih soalnya nontonnya juga waktu malem jam2 sebelum tidur,label_0
Ngga sampai segitunya sih,label_0
bertemu dgn temen tapi lebih penting,label_0
Ya karna waktunya malam hari sekitar jam 10an keatas,label_0
"Untuk saat ini tidak, sudah berkelurga, dan kelurga lebih menjadi prioritas utama.",label_0
Tidak proritas saya untuk saat ini adalah kerjaan dan keluarga,label_0
"Tidak pernah, pekerjaan akan lebih penting dan lebih terjamin untuk masa depan.",label_0
"Tidak pernah, karean prioritas lebih diatas segalanya. Prioritas akan berlajan beriringan dengan kebutuhan hidup yang lain",label_0
Tidak pernah prioritas penting berarti hal utama dalam hidup saya yang harus saya utamakan,label_0
Ga segila itu saya,label_0
Saya selalu menempatkan jadwal kuliah saya dalam prioritas dan harus mengerjakan sesuatu menurut skala prioritas.,label_0
"Tidak, hal prioritas tetap lebih ditambahkan selanjutnya bisa memilih aktivitas lain namun yang positif",label_0
agar kegiatan cpt selesai,label_0
Tidak pernah sama sekali,label_0
Prinsip saya prioritas penting tetap yang utama,label_0
Kerjaan saya selesai siang hari,label_0
Saya kurang sibuk jadi ya tidak ada prioritas penting,label_0
Melihat porno waktu senggang saja,label_0
Jika ada kegitan tdk menonton itu,label_0
tidak pernah menunda prioritas,label_0
Tidak sampai sejauh itu,label_0
tidak pernah menunda,label_0
Saya tetap mengutamakan prioritas penting,label_0
"Tidak pernah, prioritas merupakan kebutuhan utama yang lebih wajib dilaksanakan",label_0
Prioritas penting lebih utama,label_0
Malah prioritas penting harus selesai dulu biar tenang,label_0
Menonton di waktu senggang saja,label_0
"Tidak, saya lebih mengutamakan proritas, proritas lebih diatas segalanya",label_0
Saya masih punya kesadaran penting,label_0
"Tidak pernah, tidak pernah menonton",label_0
Cowok mah biasa,label_0
Biasa aja ya udah besar,label_0
Ga pernah ngerasa kayak gitu malah termotivasi,label_0
"Online maupun offline, menurut saya belum saat nya, mengingat usia saya yang masih belasan, harus menakar hal-hal yang dilihat di media sosial",label_0
Saking seringnya mungkin udah terbiasa sampai tahap ya yaudahlah,label_0
Biasa aja,label_0
Biasa aja sih yang saya rasain,label_0
"Tidak tertekan, saya selalu bersusah untuk menghindari hal tersebut (tidak tahu rasanya)",label_0
Belum pernah ngerasain tertekan,label_0
Malah bikin segar,label_0
Malah beban saya hilang walau sedikit,label_0
Malah pornografi buat pelepas penat,label_0
"Tidak pernah, tidak tahu (tidak menonton)",label_0
Tidak pernah ( tidak merasakan) tidak terlibat ke konten-konten pornografi,label_0
Menurut saya biasa aja,label_0
"Tidak , sebisa mungkin sellau menghindari baik dari iklan maupun sesuatu hal yang mengarah ke konten tersebut",label_0
Biasa aja sih,label_0
Kerjaan saya sudah selesai melihat porno ya hiburan aja,label_0
Biasa saja,label_0
Malah melihat porno membantu saya,label_0
Justru melihat pornografi menghilangkan tekanan,label_0
Biasa aja sih yang saya rasakan,label_0
"Tidak, tidak tahu dan berusaha menghindari",label_0
Tidak pernah tidak tahu,label_0
Tidak pernah ( tidak tahu dan tidak terlibat),label_0
B aja,label_0
Yang saya rasain ya biasa aja soalnya nonton bentar,label_0
Yang ada mah makin seger,label_0
Tidak ada kaitan nya.,label_0
"Tidak, tidak tahu (belum pernah merasakan terjumus ke hal yang berbau pornografi)",label_0
sama sekali tidak,label_0
Saya sadar akan dampak negatif dari pornografi online.,label_0
jarang buka konten porno mungkin sebulan 1-3 kali,label_0
"Karna terkadang saya suka membaca cerita 18+, karna menurut saya cerita seperti itu menarik.",label_0
Karna iseng aja,label_0
Mending langsung,label_0
"nontonnya jarang, tp pernah beberapa kali kalau ada yg viral",label_0
saya sangat jarang menonton konten negatif tersebut,label_0
Saya sering memiliki keinginan untuk membuka situs porno jika sedang sendirian,label_0
Jarang nonton,label_0
"Pernah mengalaminya, sekarang tingkatnya jauh berkurang",label_0
saya merasa biasa saja jika tidak menonton nya,label_0
saya cukup sering mengonsumsi hal tsb,label_0
Tidak terlalu sering,label_0
Karna pernah lewat di iklan,label_0
Karna saya merasa ketika menonton video porno bisa menambah pengalaman saya dan memuaskan nafsu.,label_0
"Saya merasa agak sering menonton pornografi, tetapi tidak sesering itu",label_0
Karna terkadang sulit untuk mengontrol nafsu. Tapi terkadang juga saya dapat mengontrol nya dengan baik,label_0
Seru,label_0
Tidak menarik,label_0
Tidak tertarik pada hal yang berbau pornografi,label_0
Tidak tertarik,label_0
"Sama kek yang diatas, ga tertarik sama pornography",label_0
tidak pernah,label_0
memang engga sya cenderung mengalihkan,label_0
Saya merasa memiliki kontrol diri yang baik sehingga jika tidak ingin maka tidak ingin,label_0
Pornografi dapat membakar kuota dan diri sendiri ke nereka jahannam,label_0
Nilai moral dan agama saya tidak memperbolehkan nya,label_0
kalau ga nonton ya biasa aja,label_0
Merasa bisa mengendalikan hasrat,label_0
Biasanya pornografi itu bisa terjadi kalau ada yg mentrigger. Jadi kalo ga ada yg mentrigger jarang tertarik,label_0
tidak pernah menonton,label_0
Tidak lebih memilih melakukan hal yang lebih positif,label_0
Karna saya tidak tertarik,label_0
Karna merusak hidup saya,label_0
Saya tidak sama sekali tertarik dengan pornografi,label_0
tidak pernah spt itu,label_0
tidak suka menonton,label_0
tidak suka,label_0
Sangat jarang saya tertarik terhadap pornografi jika tidak menontonnya,label_0
Terkadang saya sedikit tertarik terhadap pornografi,label_0
ya karna ada kesibukan lain,label_0
pornografi tidak menarik bagi saya,label_0
Terlalu berlebihan,label_0
Ga tertarik pornographyyy,label_0
Ya sibuk,label_0
"Jikalau saya menonton, tidak akan ada jadwal terstruktur untuk hal yang begituan",label_0
Godaan saat sendiri sangatlah dahsyat,label_0
Saya lebih memilih waktu dan energi untuk sesuatu yang lebih produktif,label_0
tidak sering,label_0
Selow aja brodi,label_0
"Hal itu biasanya ga bsa diduga dan dijadwal, tiba"" ada temen yg ngasi liat",label_0
Karna tidak penting,label_0
tidak pernah,label_0
karna sibuk,label_0
Ga tertarik nonton pornography,label_0
Ya berkumpul lebih seru,label_0
Sangat tidak logis memilih kesenangan sementara daripada kebutuhan sosialisasi,label_0
banyak proker organisasi dan saya harus bekerja dan belajar demi masa depan yg cerah,label_0
Saya tidak tertarik,label_0
tidak candu,label_0
Interaksi sosial bersama teman/keluarga lebih menyenangkan untuk menghabiskan waktu,label_0
Saya lebih suka bersosialisasi drpada menonton pornografi,label_0
Gk tertarik,label_0
Sama yg kek diatas,label_0
Ya gitu,label_0
"Sekali lagi, menurut saya pornografi adalah hal yang buruk sehingga skala prioritas nya berada di paling bawah",label_0
"saya hanya menontonnya tatkala salah scroll ig atau ada syahwat saja, kan tidak mungkin nonton kl ga bersyahwat",label_0
tidak terlalu penting,label_0
"menurutt saya pornografi bukan hal yang prioritas, itu hanya selingan di obrolan tongkrongan",label_0
Karna porn tidak menarik,label_0
Tidak pernah tertekan,label_0
Saya merasa biasa saja jika tidak sengaja melihat konten pornografi dalam bentuk iklan,label_0
"Ga tertekan, cm kek malu dan ganyaman",label_0
Saya merasa biasa saja,label_0
"Tertekan tidak, malu saja",label_0
tidak tertekan,label_0
Saya tidak pernah melihat nya,label_0
"Tidak, karna saya merasa senang setelah membaca cerita 18+ itu.",label_0
"Tidak tahu, sampai sekarang belum pernah menonton (dan diusahakan tidak akan pernah)",label_0
saya tidak perna merasa tertekan sama sekali,label_0
Tidak tertekan dan gelisah berusaha menghindari menonton,label_0
Tidak,label_0
Nggak tertekan malah enak,label_0
tidak merasa tertekan,label_0
tidak pernah merasa tertekan,label_0
Tertekan dikit soalnya capek nonton,label_0
Malah liat porno penghilang setress walau presentasi nya dikit,label_0
Beban saya berkurang dikit,label_0
Malah seneng,label_0
karna tidak suka,label_0
Bukan tertekan lebih ke menyesal,label_0
Melihat pornografi tekanan dari diri saya lumayan berkurang,label_0
Tidak tertarik melihat hal hal yang berbau pornografi,label_0
Tidak pernah merasa sakit,label_0
"Ga sakit, cm malu dan ga nyaman",label_0
Saya tidak mengalami masalah setelah melihat hal tersebut,label_0
Bingung,label_0
Saya tidak pernah melihat,label_0
"Tidak, karna saya merasa sudah ter entertain setelah membaca cerita 18+ itu.",label_0
"Tidak tahu, tidak pernah merasakan",label_0
"Tidak, saya menghindari untuk tidak menontonnya",label_0
tidak merasa sakit,label_0
karna jarang nonton jadi tidak tau,label_0
Saket hati karna sudah pernah janji bakalan gak nonton lagi,label_0
"Tidak merasa tertekan, tidak melakukan hal-hal yang berbau pornografi (menonton)",label_0
sepertinya karena Kayaknya wajar ga sih semua orang kek gitu,label_2
"Sempat kecanduan, waktu masih umur 20an. penasaran dan terbawa pergaulan teman",label_2
jarang melihat,label_2
tidak pernah menonton,label_2
"Tidak kecanduan, lebih melakukan hal-hal yang lebih terarah",label_2
"Tidak, tidak melihat hal-hal yang berbau pornografi",label_2
benar aku yakin kecanduan pornografi,label_2
Saya rasa saya netral dibagian ini,label_2
"Saya merasa sangat suka dengan pornografi, tidak ada yang salah dengan hal tersebut",label_2
tidak terlalu yakin karena Sudah dapat mengontrol nafsu untuk tidak melakukan hal tersebut,label_2
Saya tidak terlalu merasa kecanduan,label_2
Saya suka sekali dengan pornografi dan selalu ingin menontonnya kembali,label_2
sedikit sering menonton,label_2
Saya gabisa kalo ga nonton porno sehari aja,label_2
tidak terlalu yakin dan berusaha untuk tidak pernah melihat atau mencari sesuatu yang berbau pornografi,label_2
tidak kecanduan porn,label_2
Saya merasa suka dengan pornografi,label_2
